name,position,address,postalCode
CVS Pharmacy,40.44915776801179; -79.95035092146311,4610 Centre Ave,15213
Dr. Rosato Dentistry,40.48937443333333; -80.04732901999999,,0
schenley heights,40.45687824011336; -79.95676182261867,900 Bryn Mawr Rd,15219
lla Famiglia,40.42177217087012; -79.99344038259989,804 E Warrington Ave; Asteroid Way,15210
Eastminster Presbyterian Church,40.46314714768777; -79.92343769113762,250 N Highland Ave; Penn Circle East,15206
CoGo's,40.39726419436508; -80.0357554944705,Potomac Ave; Broadway Ave,15216
Constellation Coffee,40.465646; -79.955662,4059 Penn Ave,15224
EQT Plaza Courtyard,40.44232581783911; -79.99990420983032,637 Liberty Ave; Seventh St,15222
plify Church,40.45141829580217; -79.9847947744916,1918 Smallman Street,15222
Rasta House,40.455988; -80.006676,,0
The Rocks Cave,40.468088; -80.074467,,15136
North Shore Trail,40.44593462678332; -80.00533819198608,North Shore Trail,0
Greater Pittsburgh Specialty Advertising,40.47876; -79.96864,112 Lincoln Ave,15209
West Wing Lounge,40.4429694111125; -79.94071229160404,West Wing House,15217
Frick Park Tennis Courts,40.43728754669758; -79.89686062064138,,15221
Korea Garden,40.436749212315455; -79.95459010605832,414 Semple St,15213
Brookline State Store,40.39358905112253; -80.0200626639627,,15226
Pittsburgh Heart Group,40.45181681765074; -79.94129151365208,5200 Centre Ave; Pittsburgh; PA 15232,15232
Herron Intersection,40.45605740353228; -79.96569731620858,; Herron Ave and Bigelow Boulevard,0
Pittsburgh Party Pedaler,40.454292; -79.97929,,0
Hillman Cancer and Sickle Cell Clinic,40.45527451789613; -79.94274031691597,,1
Shadyside Nest,40.458675; -79.923309,225 Emerson St,15206
PNC Mortgage,40.45035767956969; -80.00635848179391,116 Allegheny Center Mall,15212
Milky Way,40.43318510055542; -79.92315004,2120 Murray Ave; at Douglas St,15217
United Refrigeration,40.45443973333333; -80.03363586666667,1813 N Franklin St,15233
Bayer Learning Center,40.43578449018504; -79.99217462503955,Bluff St; McAnulty St,0
Blue Eagle Market,40.47291; -80.07472,Broadway ave,15136
7-Eleven,40.4402496149456; -80.0008642673492,429 Wood St,15222
Episcopal Church of the Epiphany,40.49819990112319; -80.0617897504399,,15202
South Side Soup Contest,40.42816773569723; -79.96560444831255,,15203
Mt Lebanon Public Library Garden Tour,40.36102795053838; -80.04691876556036,,15228
Wic Mckees Rocks,40.46528483016254; -80.06253732509569,,15212
Mellon Institute Library,40.44608563321274; -79.95108674897448,4400 5th Ave; Bellefield Ave,15213
Salad Cafe,40.43894630413758; -79.99148942275083,902 5th Ave,15219
Bloomfield Mini Mart,40.46357552522012; -79.94986464416567,4619 Liberty Ave,15224
The Gin Mill,40.44701162152667; -79.95066148964503,,0
Room With A View,40.44163541565516; -80.00667517654323,,15212
Fl. 2 Restaurant,40.441711; -80.002136,510 Market St,15222
Shaare Torah,40.43131335020414; -79.92367817084309,2319 Murray Ave,15217
United Way of Allegheny County,40.44631497831994; -79.99132496092052,1250 Penn Ave,15222
The Bus,40.44567823249252; -79.953028130032,,0
Denny's,40.39114; -80.073788,2180 Greentree Rd,15220
Castle Shannon Fire department,40.36560480146629; -80.01727286436267,,15234
UPMC Shadyside,40.454915342750986; -79.93942268911773,5230 Centre Ave,15232
Squirrel Hill Sports Bar,40.4294694077199; -79.92243513815102,5832 Forward Ave; Murray Ave,15217
Dunkin Donuts,40.43898648470397; -79.99942913027152,,1
Pnc Bank,40.43395760698909; -80.0014331838946,500 1st Ave,15219
brentwood Care,40.36514847182474; -79.98502261230807,4220 Saw Mill Run Blvd,15227
Rothrock's Kung Fu & Tai Chi,40.42802; -79.971429,2340 E Carson St; at S 24th St,15203
Hazelwood,40.407667653544046; -79.94238983926707,,0
incoln Elementary School,40.38839693986312; -80.04805396205063,2 Ralston Pl; Beverly Rd,15216
Prospect Park,40.36655787445898; -79.96163709173135,1732 Skyline Dr,15227
Southside Commons,40.452646; -79.941536,,0
Scarpaci's,40.42892137086715; -80.00721746329755,307 Shiloh St; Southern Ave.,15211
Frick Fine Arts Building,40.44185687264575; -79.95110625634882,104 Frick Fine Arts Building; Schenley Drive,15260
Graziano's Pizzeria,40.46581467191415; -79.9548610008999,4109 Penn Ave; btwn 42nd St & Main St,15224
Federal Galley,40.451621611462016; -80.00620972697409,200 Children's Way,15212
Freedom Corner,40.44115170083533; -79.98649001577392,1501-1527 Centre Ave.,15219
Troy Hill,40.462677244489214; -79.98462391433509,owrie St,15212
Bellefield Cottage,40.450801849365234; -79.9536681175232,286 N Bellefield Ave,15213
Family Dollar,40.41422985622372; -79.98785635815184,240 Hays Ave,15210
Petersons House,40.456691; -79.950203,,0
Calhoun Distribution Inc,40.46007537841797; -80.07453918457031,4075 Windgap Ave,15204
Peace Garden,40.44107265392741; -79.9429581217329,,1
West Penn Field,40.454104314875394; -79.9739490731401,Brereton St & 30th St,15219
Shady Side Academy Junior School,40.44443108551193; -79.89748386909966,400 S Braddock Ave,15221
Coyle Auto Body,40.383313805270646; -80.01783192157745,540 McNeilly Rd,15226
Subway,40.43944861659043; -80.00139423171039,401 Wood St; 4th Ave,15222
Resnik House,40.44256073227712; -79.94006407100625,5125 Margaret Morrison St,15606
Denny's,40.39127526634702; -80.07395749711787,,1
Memorial Hall,40.436095; -79.950827,,0
Pittsburgh Steak Co.,40.42848205241527; -79.97807621955872,1924 E Carson St; 20th st.,15203
Steel City Vapors,40.36381864419079; -80.02865533824104,,1
First Niagara Bank,40.46290184801184; -79.92417552450355,217 N Highland Ave,15206
Primanti Bros.,40.42855672; -79.97926693,1832 East Carson Street; at S 19th St.,15203
The Capital Grille,40.44068552101686; -80.00021041306246,301 5th Ave,15222
Darragh Street Apartments,40.442247532871946; -79.96429359907384,341 Darragh St; Terrace,15213
The Tree House,40.44341278076172; -79.92610168457031,,0
565 Live,40.49723922777657; -80.05891799926758,565 Lincoln Ave,15202
United States Post Office,40.440995; -80.034727,Wabash Street; Main Street,15220
The Commander!,40.45727926316428; -80.0201172579722,1001 California Ave.,15290
Green Tree Recycling Center,40.41824243535255; -80.04965303569159,,15220
Marathon,40.38789598153636; -80.09005943570388,Washington Pike; Greentree Rd,15106
Foster Plaza Building 9,40.42317288938568; -80.06414422045147,750 Holiday Dr,15220
Squaw Valley Park,40.49785494419827; -79.88217473338261,Fox Chapel Road; btw Delafield & Freeport,15238
Fox Chapel Plaza Bus Stop,40.48807245336196; -79.87939693313993,,0
Trey's Laundromat,40.48454691535845; -80.03611728132627,3800 Brighton Rd,15212
Pittsburgh Baseball Club Grill,40.44719403419009; -80.00678438136157,PNC Park,15212
llegheny Commons East Park,40.45463872003152; -80.00274917218374,E North Ave; Cedar Ave,15212
Mustard And Relics,40.4816; -80.03361,,15212
Bon Air T Station,40.40804735945259; -80.00317079535934,Clanton St,15226
UPMC biomedical science tower south,40.44207578294344; -79.95637725707458,221 Lothrop St.,15213
MM 103 Breed Hall,40.44200231828458; -79.94102767714983,Margaret Morrison; Carnegie Mellon University,15213
East Allegheny,40.456; -80.0,,0
Beehive Coffeehouse,40.428885365096434; -79.9841388280122,1327 E Carson St; at S 14th St.,15203
Urban Park - Point Park University,40.43821821703611; -80.00178664581227,Boulevard of the Allies; at Wood St.,15222
Kellys beer dist,40.468702; -80.036118,,15212
Tammys Place,40.4595169; -79.9862329,1354 Goettman St; troyhill,15212
US Post Office,40.430220046490895; -80.00734645634127,213 Shiloh St,15211
Hair Day,40.43126671666667; -79.97828826666667,; Wharton Sq,15203
The Throne,40.42271241142809; -80.00640924455222,327 Albert St,15211
The Pool @ DoubleTree Pittsburgh Downtown,40.440009; -79.992671,Sixth Street,0
H&R Block,40.39955874082759; -80.04361130677808,3131 Banksville Rd,15216
Pittsburgh Parks Conservancy,40.43412619082024; -79.96953212771115,45 S 23rd St,15203
Sto-Rox Family Health Center,40.465069; -80.062517,710 Thompson Ave,15136
Trees Hall,40.44366972419887; -79.96517288443998,llequippa St; at Darragh St,15213
Kennel Room,40.374488; -80.020641,1119 Mississippi Ave,15216
Chatham University,40.45027963464487; -79.92508061700477,Fifth Avenue,15217
Green Tree Pool,40.419063075463; -80.04962574799333,,15220
wrenceville Community Garden,40.46755573275698; -79.9561733007431,42nd St; Sherrod St,15201
Mancini's Italiain Bread,40.47009953882394; -80.07568339585029,,0
Keystone Oaks High School track,40.38844590483179; -80.03278255462646,1000 Kelton Ave,15216
Sweeneys Irish Pub,40.478364; -79.970212,142 Grant Ave,15209
2 Gateway Center,40.41715476; -80.02148592,,15222
Wood street,40.4379260956428; -80.00143864446807,,15222
Donner House,40.442027511447726; -79.94012736874765,Margaret Morrison St; at Carnegie Mellon University,15213
Penny Arcade,40.387678; -79.863833,4800 Kennywood boulevard,15221
Carmalt Elementary School,40.38678810293464; -80.00774043492459,Brinning St.; Parklynn St.,15234
Relay for life Duquesne University,40.4304084777832; -79.98771667480469,,15203
Coyle Auto Service,40.37416691943045; -80.01808087816781,525 McNeilly Rd,15226
UPMC University Center,40.44625785397108; -79.95467131607833,120 Lytton Ave,15213
Oakland international fellowship,40.44784611904965; -79.95061318225312,,15213
Subba Asian Restaurant,40.453313659182406; -80.00159485571558,700 Cedar Ave,15212
C. J Hoffmann Agency; Inc.,40.46174398408235; -79.94940340518951,4716 Liberty Ave,15224
Posner Center,40.44180352296976; -79.94226031564725,5101-5113 Margaret Morrison St; Carnegie Mellon University,15213
Posner Hall,40.4422; -79.941913,,0
Forbes Gyro,40.4413899465565; -79.95728835088737,3715 Forbes Ave; btwn Atwood and Oakland,15213
Shadyside Dog Park,40.45367861929411; -79.92794657577534,,15232
Woodland Manor,40.451479; -79.925642,5903 5th Ave; College St.,15232
Millvale Riverfront Park,40.472239683713205; -79.97168435546034,,15209
io Deli,40.38877; -80.049904,300C Beverly Road,15216
st anne school,40.36127052644917; -80.02908658726035,,15234
The man,40.437026; -79.955751,,15213
Suburban Dry Cleaners,40.38879290325062; -80.0496639507685,293 Beverly Rd,15216
Brookline Elementary School,40.39425328568286; -80.02188608529693,,15226
Wyndham Pittsburgh University Center,40.44597229168353; -79.95481405038018,100 Lytton Avenue,15213
IBM Pittsburgh,40.43956266675468; -80.0070792335701,11 Stanwix St,15222
llegheny Health Network at 30 Isabella Street,40.44820785522461; -80.00284576416016,30 Isabella St,15212
Squirrel Hill Flower Shop,40.4373298; -79.92310502,1718 Murray Ave,15217
Canton Avenue,40.40939147493192; -80.03008008949655,Coast Avenue and Canton Avenue; Hampshie,15216
CCAC Jones Hall,40.44950815051401; -80.014805099967,808 Ridge Ave; at Brighton Rd,15212
Mercy Behavioral Health: Reedsdale Center,40.44815534318643; -80.02009246314483,1200 Reedsdale St,15233
Banksville & Crane,40.4163445681855; -80.02997034746389,Banksville Rd; Crave Ave,15220
Nana's Hot Dog,40.45536402690193; -80.00657143183865,1110 Federal St,15212
South Side Slopes Marker,40.42376475793026; -79.97859406769787,,15203
lumni Concert Hall,40.44174628898708; -79.94299372460176,College of Fine Arts; Carnegie Mellon University,15213
Pittsburgh Police Training Academy,40.451197; -80.016528,900 N. Lincoln Avenue,15233
Mariani's Pleasure Bar Restaurant,40.4617; -79.94896,4729 Liberty Ave,15224
Schwartz Market,40.428837566666665; -79.98451291666666,1317 E Carson St,15203
Shadyside Plaza,40.458424; -79.92489,195 S Highland Ave,15206
Thai Cuisine,40.46220890546721; -79.94996211643934,4625 Liberty Ave,15224
The Garage,40.414212; -79.971892,,15210
Fairmont Pittsburgh Hotel,40.44125519914588; -80.00170029900869,510 Market St; at Fifth Ave.,15222
Jefferson Middle School,40.38235779579697; -80.0609933989475,900-914 Ruth,1
Potomac Ave,40.40034508140807; -80.0381283194262,,15216
Sandy's House,40.432530641555786; -79.95362520217896,3284 Dawson St,15213
University of Pittsburgh Archives Service Center,40.449631215453; -79.89576097888889,7500 Thomas Blvd,15208
Pittsburgh Zoo & PPG Aquarium,40.48346608629297; -79.92075204849243,1 Wild Pl,15206
St Nicholas Cemetery,40.4752693596452; -79.97804786532478,,1
Bellefield Hall Gym,40.44545952367788; -79.95121643692417,315 S Bellefield Ave; on 2nd Fl,15213
McDonald's,40.46308473055749; -79.92689162492752,148 N Euclid Ave; Beatty St,15206
Pittsburgh Ballet Theatre,40.45737907946058; -79.97281569084204,2900 Liberty Ave,15201
36 Banksville Bus,40.40924424632267; -80.03203976657416,,0
Shadyside Commons,40.45291035026517; -79.94125326325776,,0
berson Apartments and Towers: Building 2,40.45335465457257; -79.94248266264819,2 Bayard Rd,15213
East Liberty Family Health Care Center,40.462947; -79.922834,6023 Harvard Sq,15206
Dippy the Dinosaur (Diplodocus carnegii),40.44360212772978; -79.9515384774904,4400 Forbes Ave; Schenley Drive Extension,15213
Keystone Oaks High School,40.3872037764756; -80.03014326095581,1000 Kelton Ave,15216
Rivertique,40.436069; -80.007319,,0
Driscoll Building,40.43018; -79.97161,160 south 22nd st; Mary st,0
Pittsburgh Chest Physicians,40.4364242641869; -79.9866996468838,1350 Locust St; SUITE 308,15219
Robot City,40.42026217170877; -79.95118497454499,2nd Street,15207
Pittsburgh Jean Company,40.42518612701279; -79.96424965835583,,15203
Hazelwood Christian Church,40.409287; -79.942608,118 Glen Caladh St,15207
Community Bank,40.39437529554471; -80.02094162334116,714 Brookline Blvd,15226
People's Indian Restaurant,40.46481627368616; -79.94118041082567,5147 Penn Ave,15224
Point Park University Center,40.43938549341857; -80.00043935381103,,0
Grandview Bakery,40.429936492295774; -80.00734045372981,225 Shiloh St,15211
Crows Nest Box Office - PNC Park,40.44731466849208; -80.00714475628848,,0
Cogo's,40.392266306902; -80.01723464730722,Brookline Blvd,1
Pinecone Park,40.37703626774107; -80.03492188523259,Sunset Dr; Park side,1
Polo Barber Shop,40.391929; -80.017217,,15226
Banksville Express,40.40679678902846; -80.0340539845856,,15216
CCAC Library Building,40.44951055311669; -80.01080319249436,808 Ridge Ave,15212
llegheny  River,40.44581393120172; -79.99965301866281,,15212
The Library,40.42831901455685; -79.97291324640406,2302 E Carson St; Near S 23rd St.,15203
River Vue Apartments,40.44109155801061; -80.00590943070411,,15216
Riverview Towers,40.41354430441876; -79.92139938048123,52 Garetta St,15217
ldi,40.45821; -79.93489,5631 Baum Blvd; Roup Avenue,15206
llegheny Endocrinology,40.456813; -80.00287,,0
Bubbles On Wheels,40.48464992198075; -80.07814215093848,,0
Baldwin Township Community Center,40.379764; -80.01766,,15234
Julie's Office,40.465087890625; -79.95140838623047,,15224
Brottier Laundry Duquesne University,40.437401103947; -79.99296888286163,McAnulty Drive (G Floor; Brottier Hall),15219
Mary Anne's Breakfast & Lunch,40.48594137666197; -80.0746885985924,1460 Island Ave,15136
Panther Hollow Bridge,40.44025060771303; -79.95155840731981,Schenley Park,15213
Rita's Italian Ice,40.48826558523096; -79.87982241970921,1175 Freeport Rd; Fox Chapel Plaza,15238
Pie Express,40.441551; -79.957248,,15213
University of Pittsburgh Department of Psychology,40.44163978253703; -79.95639324188231,210 South Bouquet Street  Sennott Square; 3rd Floor,15260
Pittsburgh Pirate,40.432641; -80.01533,321 Bigham St,15211
Gumberg Library at Duquesne University,40.4372526185916; -79.99127281392781,600 Forbes Ave,15219
Killarney T Station,40.37391031687178; -80.00778008891082,1000 Killarney Dr,15234
Grandview Beer,40.43865; -80.02042,1325 Grandview Ave,15211
Uzori Salon,40.42836785316467; -79.9724189,2310 E Carson St,15203
Thermopylae,40.43243410266046; -80.01229358631484,201 Ulysses St,15211
Mamma Lucia Pizza,40.4402874484344; -80.000744744322,433 Wood St,15222
Senator John Heinz History Center,40.446963407811154; -79.99200562256341,1212 Smallman St,15222
The Rocks,40.46554931707346; -80.06084572357035,,15136
Pittsburgh Classical School,40.455061; -80.064514,,0
Residence Inn Pittsburgh North Shore,40.44790640727012; -80.00721037387848,574 West General Robinson Street; at Tony Dorsett Dr,15212
The Beta House,40.42939671; -79.97874252,; 19th St And Sidney,15203
Butler Street Motor Works,40.48242718708608; -79.95072245735,,15201
W N Grocery,40.45286748727574; -80.02085427373922,1018 W North Ave,15233
Spring Garden School,40.464658; -79.985662,,15212
llegheny Ave,40.45716328204014; -80.01572233032225,,15212
Port Authority Allegheny Station,40.4477900539288; -80.01792424917036,Reedsdale St.; Allegheny Ave.,15212
Hookah Bookah,40.42775110931912; -79.9695234922293,2506 E Carson St; S 25th St,15203
Thai Gourmet,40.46309432329389; -79.95161640052052,4505 Liberty Ave; at Ella St.,15224
CMU Tennis Courts,40.44254530983002; -79.94212208951784,5101-5113 Margaret Morrison St,15213
Pioneer Hall,40.43806299200652; -80.00230314815354,,0
Friendship Community Garden,40.4634974; -79.93760145,,15224
Brottier Hall Circle,40.43720550148011; -79.99306242620116,McAnulty Drive; Locust Street,15219
Plum Pan-Asian Kitchen,40.45958036480705; -79.92544173152565,5996 Penn Cir S; at S. Highland Ave,15206
Torch & Dagger Tattoo,40.466418; -79.964806,3703 Butler St; 37th,15201
Highland Park Care Center,40.46941799082057; -79.92141544928181,N Highland; Stanton,0
llegheny General Hospital: Outpatient Services - Federal North,40.4571888; -80.0077264,1307 Federal Street,15212
King Edward Apartments,40.45039844644671; -79.9500920746853,4601 Bayard St,15213
Riverview Presbyterian Church,40.48412352894661; -80.01435194091786,3505; Perrysville Avenue,0
Taverna 19,40.45084057919486; -79.98528476888465,,0
Brentwood Stadium,40.374764; -79.972848,,0
North Park,40.45600203029701; -80.00289114483361,Federal St,15212
Carnegie Museums of Pittsburgh,40.444011; -79.950361,4400 Forbes Ave; Craig St,15213
Rialto Pizza,40.42648732068562; -79.93874933950751,623 Greenfield Ave,15207
East Ohio St and Grant Ave PATransit Stop,40.47831166901605; -79.9691606718625,,1
Southside Slopes,40.42369273685559; -79.9786049917104,South 18th St; btw E Carson & Arlington Ave,15222
Pittsburgh Ear Associates,40.4571557; -80.00351069999999,420 E North Ave; Floor 4,15212
Family Dollar,40.46088549750469; -79.86592226470052,9010 Frankstown Rd,15235
Gateway Cafe,40.44199614278275; -80.00530819357952,,15222
Boston Market,40.45558110382329; -79.94155445698198,5200 Baum Blvd; at Cypress St,15224
Polished Dental,40.440445645342365; -79.9996519088745,355 5th Ave #1500; 5th Ave and Smithfield Street,15222
The Gallery,40.455756; -80.000952,509 Tripoli St,15212
Park Circle Motors,40.469991; -80.076766,401 Singer Ave,15136
Mineo's Pizza,40.3800477778906; -80.04471872252626,713A Washington Road,15228
CrossFit Mt. Lebanon,40.38594823238381; -80.04367626677691,Washington Rd,15228
CCAC SSC Building,40.45021658812367; -80.01480430979795,,15212
West End Overlook,40.44578504127312; -80.0337646824384,,15220
Rizzo Palace,40.38045035456219; -80.01973509918439,552 Highview drive,15034
Wendy's,40.494122519833006; -80.06358855287539,1015 Ohio River Blvd,15202
Quest Diagnostics,40.38156970013684; -80.04411891442128,642 Washington Rd,15228
Oakland General Store,40.440551; -79.956705,,0
Washington Blvd at Frankstown,40.458690834965296; -79.90798928435993,,0
University of Pittsburgh Department of Chemistry,40.445991780654985; -79.95742321014404,219 Parkman Ave,15260
Number Garden,40.44144213068303; -79.94245541046118,5000 Forbes Ave,15213
Chatham Gym,40.4498796198607; -79.9273126132904,,15024
Mount Olive Baptist Church Of Rankin,40.41373965; -79.881682,Forth St,15104
llegheny Cemetery,40.46549248613043; -79.9466735708261,4734 Butler St,15201
PNC Bank,40.4413; -80.0013,225 5th Ave; at 3 PNC Plaza,15222
rt & Design Center; Chatham University,40.45027717452667; -79.92506524736928,Woodland Rd.; Murray Hill Pl,15232
Jr's Bar,40.45370196400686; -79.99982229974671,700 Cedar Ave,15212
DoubleTree by Hilton Hotel Pittsburgh - Green Tree,40.418499242361726; -80.05954563617706,500 Mansfield Ave,15205
Green Tree Fire Company,40.41928746058119; -80.04996411484365,825 Poplar St,15220
Islamic Center Of Pittsburgh (ICP),40.44886075191402; -79.95573385921676,4100 Bigelow Blvd; Pittsburgh; PA 15213,15213
Covenant Church,40.44135617246963; -79.88257936625823,,0
Christian Tabernacle,40.44671630859375; -79.96858215332031,,1
Carnegie Park And Ride,40.40605278482523; -80.09041669186423,,15106
University Center Pool,40.44331687473613; -79.94173278380137,Jared L Cohon University Center; Carnegie Mellon University,15313
Subway,40.45237030509481; -79.95155294362048,4613 Centre Ave,15213
West Oakland,40.44166914583357; -79.9650907581898,,15213
Westfield T,40.41041710379138; -80.01991769451416,1637 Suburban Ave,15216
Family House,40.449940262214135; -79.94901228641982,514 N Neville St,15213
McCleary Elementary School,40.48006509116677; -79.95093554339586,Holmes St; 52nd St,15201
UPMC St. Margaret,40.48977368735862; -79.89576995372772,815 Freeport Rd; at Delafield Rd,15215
Starbucks,40.42865193; -79.98404,1400 East Carson Street; at S 14th St,15203
Webster Hall,40.447254892131554; -79.95125264382914,101 N Dithridge St,15213
Yen's Gourmet,40.4608627639039; -79.92246483468453,6123 Penn Ave,15206
Shadyside Hospital Cafeteria,40.45424714942501; -79.94134696057577,Center Ave; Aiken St,0
McFadden's of Pittsburgh,40.44584866037543; -80.01776968455232,211 N Shore Dr,15212
The Princess Palace,40.42863286849835; -79.9839302847446,; East Carson,15203
llegheny Neurological,40.4563; -80.002516,420 E North Ave #206,15212
ittle Caesars Pizza,40.45599214547629; -79.93717829821125,5430 Centre Ave,15232
Oakwood Apartments,40.440451; -79.956045,,1
Spencer United Methodist Church,40.38593975805712; -79.97753443197266,117 Spencer Ave; Churchview,15227
Best Auto Mart,40.400747; -80.000687,,15210
Bouquet Building D,40.43994313234709; -79.95487058861217,,0
Pittsburgh United,40.459034063574286; -80.01806449958428,,0
Phillips elementary school,40.4277960476675; -79.97832642896282,Sarah st,15203
Southside Steaks,40.42853782766761; -79.9775862388716,2000 E Carson St; 20th St,15203
pteka,40.46579; -79.949195,4606 Penn Ave; Cullen St,15224
Paul's Motor Car Service,40.38063824698757; -80.00017178223234,2600 Library Rd,15234
Supercuts,40.45840603229967; -79.92506517384129,219 S Highland Ave,15206
Monongahela Incline,40.43188146442451; -80.00542402267456,Grandview Ave and Wyoming Street,15211
Zeke's Coffee,40.46124424453137; -79.92432869854208,6015 Penn Ave; Sheridan,15206
Etna Dog Park,40.496459597613296; -79.9396685893638,1098 Hafner,0
Residence Inn Pittsburgh University/Medical Center,40.45391936818415; -79.95501726865768,3896 Bigelow Boulevard,15213
UMPC Herberman Conference Center,40.45483421218424; -79.94143959708637,Center Ave,15232
40 Mount Washington,40.43088201691901; -80.00641854467987,,15219
Presston Park,40.48237483766733; -80.06434893904219,Ohio St,15136
Trees Field,40.447197; -79.964696,,1
Farmer's Daughter Flowers,40.453678; -79.99967,,1
Boulevard Deli,40.43847880377246; -79.99967232152153,309 Smithfield St,15222
Mercy Behavioral Health,40.45104430883704; -80.00240691567942,412 E Commons,15212
Holland Hall,40.44296071282562; -79.9563716250157,3990 5th Ave,15213
Providence Reformed Presbyterian Church,40.40228; -80.015925,2001 Pioneer Ave,15226
PNC Bank,40.421417; -80.0497,920 Poplar St,15220
Culture Restaurant & Lounge,40.4436301; -80.0007491,7th St.; Penn Avenue,15222
Carson City Saloon,40.42891416889692; -79.98397484627056,1401 E Carson St; at S 14th St,15203
Union Project - Pittsburgh,40.471846; -79.926251,801 N Negley Ave,15206
1311,40.42884064569228; -79.98488835532213,1311 E Carson St; S 13th St,15203
Duquesne University Press,40.437729; -79.993689,600 Forbes Ave,15219
Crazy Mocha,40.442247905378686; -80.0052170454249,1 Gateway Center; Penn Avenue,15222
Warner Center Breakroom,40.43978779759615; -79.99986726668871,Fifth Avenue,15222
South Side Works,40.4278389861343; -79.96546787769765,445 S 27th St,15203
Roosevelt Elementary School,40.40134227061996; -79.98659104145175,,1
Carlow University,40.43879; -79.96283,3333 5th Ave,15213
Wood Street Frame Shop,40.44188121374146; -80.00049942078698,300 6th Ave,15222
EPi House,40.45010967659629; -79.95166221754214,4506 Centre Ave,15606
Glenwood Bridge,40.39462049172302; -79.93485428330939,Glenwood Bridge; betw 2nd Ave and Streets Run Rd,0
Sheraton Pittsburgh Hotel at Station Square,40.434657; -80.0063705,300 W Station Square Dr; at W Carson St,15219
Holland 4th Floor,40.44324321553889; -79.95657393917296,,0
Thomas Jefferson Baseball Field,40.38409835536333; -80.06315588951111,Pinoak Rd,15243
Banksville; PA,40.40838219817435; -80.03374814987183,,15216
Wendover St Apartments,40.43201867480626; -79.92776668024963,2015 Wendover St,15217
Tower Auto Sales,40.49230246916797; -79.86477732658386,200 Freeport Rd; Center Ave,15238
Food,40.446528; -79.992757,1212 Smallman St,15222
The Eddy Theater,40.4498741177172; -79.92736819960999,,1
Ima Pittsburgh,40.43629605870944; -79.9640748452164,3109 Forbes Ave Ste 201,15213
The Carlyle; Quantum Theatre,40.43942679929258; -80.00138949929445,,0
Bruce Hall,40.4428189921098; -79.9551388780829,3990 5th Ave,15213
Castle Shannon Bingo,40.36597718888094; -80.01639932746417,,15234
Byham Theater,40.44413460576368; -80.00208287269393,101 6th St; at Fort Duquesne Blvd,15222
Bouquet Gardens Building G,40.44070987755416; -79.95575989094422,,15213
Schenley House 6J,40.44909421665789; -79.95091915218,151 N Craig St; Bayard Road,15213
Hillman Cancer Center,40.455218369747946; -79.94264036596151,5115 Centre Ave,15232
The Refinery,40.454789; -79.978711,,15222
Carnegie Library of Pittsburgh - Hill District,40.45118837134197; -79.97251464232271,2177 Centre Ave; Kirkpatrick St,15219
St Pius X Roman Catholic Church,40.3918865425127; -80.03077880952505,3040 Pioneer Ave,15226
Paynter Elementary School,40.38085429712178; -79.95090276096109,3454 Pleasantvue Dr; btw Eileen Dr & Norine Dr,15227
Cargill,40.48208027131732; -80.06176792334549,180 Nichol Ave,15136
ubavitch Yeshiva,40.432507144914766; -79.92774436410181,,15217
oafers Bread Co.,40.48811956204756; -79.88045775696746,1153 Freeport Rd,15238
WYEP,40.43002960215868; -79.98667312249562,67 Bedford Sq,15203
South Hills Pub Quiz,40.38849493574431; -80.04979848861694,Beverly Rd; Overlook,15216
Rainbow Apparel,40.43085357793851; -79.97752896989945,2007 Wharton Sq,15203
Dave and Andy's Ice Cream,40.44095874470952; -79.95736149750417,207 Atwood St,15213
The Waterfront,40.40297450867137; -79.92127880968035,,0
Mt.Lebanon Fire Dept Emergency Annex,40.383271; -80.043681,,1
PNC Bank,40.4590148; -79.9275625,5932 Centre Ave; btw Highland Ave and Center Ave,15206
ugust Wilson Park,40.446606; -79.985869,Cassatt Street; Cliff Street,15219
North Side Overlook,40.46283031102469; -80.00566229526301,Catoma,15214
Paisano's,40.42184518455981; -79.99288696624735,821 E Warrington Ave,15210
zing Books,40.433989; -79.923112,2030 Murray Ave,15217
Walking to The Sky,40.444421025508674; -79.9428488369301,Carnegie Mellon University,15213
Marathon,40.365056350764405; -80.01940207367161,Rt. 88,15234
SpacePlace at Carnegie Science Center,40.44543; -80.018038,,15212
Mt. Lebanon Floral,40.38096340846565; -80.04304829348426,300 Washington Rd,0
Oak Hill Apartments,40.44138342428747; -79.9702644356612,3078 Terrace St,15213
Mt Lebanon United Lutheran Church,40.37344115913052; -80.04844691121271,975 Washington Rd,15228
Hi-Tech Auto Care,40.49166; -79.86553,170 Freeport Rd; RIDC Park,15238
Brottier Hall - Duquesne University,40.43738735324956; -79.99307810489404,700 Forbes Ave; Duquesne University,15219
Pittsburgh Guitars,40.42881706326886; -79.9849570730406,1305 E Carson St,15203
imadeit Market,40.451253; -80.00545,,0
Pittsburgh Mime Storage,40.43399317416768; -79.99122131169939,,0
Hillman Pharmacy,40.455258229891946; -79.94237065315247,5115 Centre Ave Ste AG-30.1,15232
Salon Vivace & Day Spa,40.38154503109384; -80.04438984571448,642 Washington Rd,15228
Marino's Garage,40.45809862445911; -79.95134532279283,,15224
Thomas Pecora Building,40.44394302368164; -79.99971771240234,,15222
Tana Ethiopian Cuisine,40.46050142164152; -79.92685142470735,5929 Baum Blvd,15206
